resourceIdentifier,resourceName,country,protocols,protocolSubCategories,regYear,estAnnualEmissionReductions,fitted_er,residual,over_promise_ratio
2483,Tavolo Community Forest Conservation Project,Papua New Guinea,VM0007,REDD,2025.0,54532,227621.73852505305,-1.4288975243403073,0.23957289999345985
1202,LOWER ZAMBEZI REDD+ PROJECT,Zambia,VM0009,REDD,2020.0,189117,793823.0430957418,-1.4344946976230961,0.23823571467827862
4306,Regenerative Agriculture with small holder farming communities of Bangladesh,Bangladesh,VM0017,ALM,2025.0,26809,119481.93763002724,-1.4944275583706847,0.22437701071615845
825,"TIST Program in Uganda, VCS 002",Uganda,AR-AMS0001,ARR,2020.0,4801,21710.85692934717,-1.5089882252043818,0.2211336022167948
1577,Fujian Yong’an Improved Forest Management Project,China,VM0010,IFM,2020.0,57455,261528.7184459975,-1.515542066738611,0.21968906642986422
856,The Chocó-Darién Conservation Corridor REDD Project,Colombia,VM0009,REDD,2020.0,80938,373362.6417300961,-1.5288667476929358,0.21678119595722728
4265,REDD+ Café Apuí Agroflorestal,Brazil,VM0015,REDD,2026.0,55052,258630.29613428414,-1.5471214207833466,0.2128598266438836
4841,Ana Primavesi – Sustainable Farming and Restoration Program,Brazil,AR-ACM0003,ARR,2025.0,10870,51771.51614508878,-1.560833415523172,0.20996101349508506
1542,Yunnan Kunming Liangqu Improved Forest Management Project,China,VM0010,IFM,2020.0,54734,261528.7184459975,-1.5640590109042023,0.20928485531236946
1377,Lock Haven Improved Forest Management Project,United States,VM0003,IFM,2020.0,6384,31176.376064041888,-1.5858657704297574,0.20477043216588467
826,"TIST Program in Uganda, VCS 004",Uganda,AR-AMS0001,ARR,2012.0,2958,14542.93465348022,-1.5925919205653853,0.20339773714737355
2326,Guangxi Jinxiu IFM (conversion  of  logged  to  protected  forest)  Project,China,VM0010,IFM,2022.0,58501,289085.0374098075,-1.597677043814203,0.20236605991153
886,"Reforestation of degraded lands in the Valle California of Patagonia, Chile",Chile,AR-ACM0001,ARR,2020.0,1193,6299.7407065824455,-1.6640373317493813,0.18937287351421678
838,Tensas River Basin Project,United States,AR-ACM0001,ARR,2020.0,1196,6377.918607188376,-1.6738591514835441,0.18752199168111386
2327,Guangxi Huanjiang IFM (conversion of logged to protected forest) Project,China,VM0010,IFM,2022.0,53992,289085.0374098075,-1.677885004481901,0.18676857330205174
3566,Livelihood improvement by agroforestry plantation in India,India,AR-ACM0003,ARR,2026.0,6420,34786.19217522711,-1.689802413767973,0.18455598611255836
3208,Wheatbelt Biodiversity Carbon Credit Project,Australia,AR-ACM0003,ARR,2024.0,2205,12364.411638499263,-1.724094808128017,0.17833440558823332
2992,HG Afforestation Through High Quality Timber Over Degraded Grasslands,Uruguay,AR-ACM0003,ARR,2023.0,2056,11602.549323134106,-1.7304624956093786,0.17720243566649443
605,Protection of a Tasmanian native forest - Project 1 - REDD Forests Pilot,Australia,VM0010,REDD,2020.0,4956,27997.518781445437,-1.731516927533395,0.17701568623589775
1882,REDD+ PROJECT IN THE ALTO HUAYABAMBA CONSERVATION CONCESSION (CCAH),Peru,VM0015,REDD,2019.0,53179,308547.83720619895,-1.7582133136253528,0.1723525288056422
3560,Improving livelihoods through Agroforestry Plantations in India,India,AR-ACM0003,ARR,2026.0,5990,34786.19217522711,-1.759129119342484,0.17219475962838388
796,"Alto Huayabamba: Carbon Dioxide sequestration through reforestation with small-scale farmers in Peru, San Martin Region",Peru,AR-AMS0001,ARR,2020.0,4844,28982.30323799781,-1.7889445848550949,0.1671364749799864
953,The Paraguay Forest Conservation Project - Reduction of GHG emissions from deforestation and forest degradation in the Chaco-Pantanal ecosystem,Paraguay,VM0007,REDD,2020.0,12784,78717.0561180883,-1.81766546614692,0.16240444740237664
1367,EFM Improved Forest Management Group Project,United States,VM0003,IFM,2020.0,5001,31176.376064041888,-1.8300227381404977,0.16040992031039933
3938,Carbono Rural AR NEA,Argentina,VM0042,ALM,2026.0,27337,197051.29994282412,-1.9752230046986288,0.13873037126845664
4031,Agroforestry Plantation of ITC Limited In Selected Regions of North India,India,AR-AMS0007,ARR,2026.0,759,5863.86844090311,-2.0445630308753797,0.12943673747958512
1133,Yacumama Forest Carbon Project,Peru,VM0007,REDD,2020.0,51013,405569.6843329936,-2.073212204511716,0.12578109747994798
4458,DEVELOPING CARBON PROJECT FOR FARMERS ADOPTING REGENERATIVE AGRICULTURAL PRACTICES IN GUJARAT STATE,India,VM0042,ALM,2026.0,57329,459920.76812096126,-2.0822476275386954,0.12464973094000881
2471,Agroforestry and reforestation with small-scale farmers in Uganda,Uganda,AR-AMS0007,ARR,2023.0,1214,10018.921159732705,-2.110554728533372,0.12117073092452485
812,Bull Run Overseas Forest Carbon Project,Belize,VM0007,REDD,2020.0,12315,104941.9381852257,-2.142589195976395,0.11735060561072973
4627,"Trees for Livelihood in Madhya Pradesh, India",India,AR-ACM0003,ARR,2025.0,3864,33086.72469216997,-2.1474292188821718,0.11678399829386625
919,LOWER MISSISSIPPI VALLEY GROUPED AFFORESTATION PROJECT,United States,AR-ACM0001,ARR; IFM; REDD,2020.0,926,9026.27844306549,-2.2770211942640035,0.10258934574651936
1071,Jatropha Agroforestry Senegal,Senegal,AR-ACM0003,ARR,2020.0,1742,17942.701784377638,-2.3321495679970035,0.09708682788880355
2322,Monet Forest Conservation Project,Canada,VM0012,IFM,2021.0,7552,83868.46620187517,-2.4074372641818567,0.09004576263290659
839,Bayou Bartholomew Climate Action Project,United States,AR-ACM0001,ARR,2020.0,531,6377.918607188376,-2.485835064752182,0.0832560013233039
4176,Greenzone Reforestation Project,Cameroon,AR-ACM0003,ARR,2024.0,35,428.16027271938555,-2.504149532966904,0.08174508993490588
2375,Jilin Sanchazi Afforestation Project,China,AR-ACM0003,ARR,2021.0,10576,141912.2175939226,-2.5966213973779144,0.07452494351305887
2554,CNG AgriCarbon Rewards Programme,South Africa,VM0042,ALM,2025.0,23161,358249.4820214288,-2.7387597911838206,0.06465047728558786
1361,Reforestation Project in Qinghai Province 2012,China,AR-ACM0003,ARR,2015.0,6708,105075.41212299655,-2.7513774591018887,0.06383986381274352
2343,Zhanjiang Mangrove Afforestation Project,China,AR-AM0014,ARR,2021.0,4020,66215.16975126498,-2.801627684382332,0.060711163546072484
3342,XiCO2e: Mexican Reforestation Project,Mexico,AR-ACM0003,ARR,2025.0,3726,63557.07135057656,-2.8366029915014366,0.05862447593671573
3430,Juruá REDD+ Project,Brazil,VM0015,REDD,2025.0,13798,245995.00175657225,-2.8807875635393163,0.056090570546038984
1429,Recovery of degraded areas with agroforestry systems in Colombia,Colombia,AR-ACM0003,ARR,2015.0,746,15994.02916239898,-3.065245154020099,0.046642405889430416
2485,Agri-SMART: Sustaining a resilient and inclusive development in Zambezia,Mozambique,VM0017,ALM,2023.0,163,4244.5770606030555,-3.25964726060828,0.038401941506238435
1332,"Reforestation Project in Yingjing County, Sichuan Province",China,AR-ACM0003,ARR,2014.0,3365,99941.98891667536,-3.3911619437287612,0.03366953206029852
3786,Silvopastoral carbon project of Uruguay,Uruguay,AR-ACM0003,ARR,2025.0,405,12825.06726243124,-3.4552698475526933,0.03157878174926815
4855,Improved Agriculture Land Management in Argentina,Argentina,VM0042,ALM,2026.0,5845,197051.29994282412,-3.517877505715388,0.029662326519520398
4883,Agroforestry Project of Cameroon,Cameroon,AR-ACM0003,ARR,2025.0,12,450.1523093380983,-3.624679340905716,0.026657643981977435
3661,Strengthening Rural Livelihood Through Carbon Finance: Agroforestry Practices In Moradabad Forest Circle Of Uttar Pradesh,India,AR-AMS0007,ARR,2026.0,148,5863.86844090311,-3.6793525345068954,0.025239311129089063
4004,The Native Ecosystem Restoration in Nicaragua Project,Nicaragua,AR-ACM0003,ARR,2025.0,164,6618.615749541537,-3.6977750979644215,0.02477859513318326
1339,Renencom Afforestation/Reforestation Grouped Project,South Africa,AR-AMS0007,ARR,2015.0,66,2767.9333434225373,-3.7362014932877035,0.023844504838541846
4448,Raízes do Bem Grouped ARR Project,Brazil,AR-AMS0007,ARR,2025.0,204,8727.064984050834,-3.7560643996132272,0.023375556429661132
3242,AGRISOLERO CARBON FARMING IN NORTHERN ITALY,Italy,VM0042,ALM,2026.0,289,13633.179779925009,-3.853835102100737,0.021198282767865742
1695,PAYMENT FOR ENVIRONMENTAL SERVICES SCHEME FOR FOREST MANAGEMENT AND CONSERVATION OF WATER SOURCES IN THE JURISDICTION OF CORPOCHIVOR,Colombia,VM0015,REDD,2018.0,1662,88318.69132209689,-3.9729300685276066,0.01881821362070133
2496,IMPACT REFORESTATION IN THE CHACO PROJECT,Paraguay,AR-ACM0003,ARR,2023.0,254,15399.368892916646,-4.104747539564002,0.016494182441257974
1403,"The Paraguay Forest Conservation Project – Reduction of GHG Emissions from Deforestation and Forest Degradation in the Parana Atlantic Ecosystem – Forest Protection in the La Amistad Community, San Rafael",Paraguay,VM0007,REDD,2020.0,1265,78717.0561180883,-4.130787732991355,0.01607021479693417
1351,Planting for the Future: Financially sustainable agroforestry systems and payments for ecosystem services,Peru,AR-ACM0003,ARR,2015.0,719,53146.49776729505,-4.3029461305063,0.013528643094191875
3049,Rio Preto Grouped REDD+ Project,Brazil,VM0015,REDD,2025.0,2925,245995.00175657225,-4.4320167369794135,0.011890485494068999
3663,Strengthening rural livelihood through carbon finance to agroforestry practices in Saharanpur Forest Circle of Uttar Pradesh,India,AR-ACM0003,ARR,2026.0,249,34786.19217522711,-4.939522913987272,0.007158012545487076
4430,Reflorestamento de Impacto no Brasil Project,Brazil,AR-ACM0003,ARR,2025.0,239,51771.51614508878,-5.378131843706916,0.004616438107205642
4126,Community Restoration of Native Ecosystems in Ghana,Ghana,AR-ACM0003,ARR,2024.0,92,20025.339590876294,-5.382965153089611,0.004594179268845755
3321,Mount Kenya Regenerative Agroforestry Project,Kenya,AR-ACM0003,ARR,2024.0,7,68050.01324623179,-9.182088053678678,0.00010286552002085935
