Agency,N,R2,AdjR2,RMSE,MAE,Bias,Pearson,Spearman,Within_3,Within_6
S&P,2346,0.7642844248385717,0.763679767527341,7.409671908869352,5.728577653814097,0.02310943056968527,0.8755814372707424,0.8665014217061964,0.3307757885763001,0.5980392156862745
Moody's,2471,0.7344974122558945,0.7338508962143098,8.174773568008089,6.336469677539634,0.017643172873298706,0.8581893995330345,0.8494876322916814,0.301902063941724,0.5548360987454471
DBRS,508,0.6681361546700726,0.664161737360732,7.282731712735476,5.298390839603678,0.07576797065848523,0.8183169667843057,0.8578799524343597,0.3641732283464567,0.6673228346456693
