resourceIdentifier,resourceName,proponent,protocolCategories,protocolSubCategories,protocols,resourceStatus,country,region,estAnnualEmissionReductions,version,projectRegistrationDate,creditingPeriodStartDate,creditingPeriodEndDate,createDate
5922,Lamantin - Community-based mangrove conservation and restoration in Guinea,Blue Coast Carbon,Agriculture Forestry and Other Land Use,REDD; WRC,VM0007; VM0033,Under development,Guinea,Africa,80000,VCS Version 3,,2026-04-01,2066-03-31,2026-02-09
5923,Balbuzard - Community-based mangrove conservation and restoration in Guinea,Blue Coast Carbon,Agriculture Forestry and Other Land Use,REDD; WRC,VM0007; VM0033,Under development,Guinea,Africa,118000,VCS Version 3,,,,2026-02-09
5920,Electric Mobility Program Pakistan,Zeroca B.V.,Transport,,AMS-I.F.; VMR0014; VM0038,Under validation,Pakistan,Asia,276423,VCS Version 3,,2026-01-01,2035-12-31,2026-02-05
5918,Family Forest Carbon Program - Fields & Forests,Family Forest Impact Foundation,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,United States,North America,21922,VCS Version 3,,2023-11-13,2063-11-12,2026-02-04
5919,Family Forest Carbon Program - North,Family Forest Impact Foundation,Agriculture Forestry and Other Land Use,IFM,VM0045,Under development,United States,North America,100000,VCS Version 3,,2024-03-25,2044-03-24,2026-02-04
5911,Maamba 100MW PV Solar Project,Maamba Solar Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Zambia,Africa,54094,VCS Version 3,,,,2026-01-30
5909,Paragon-Manure to Compost Grouped project in Bangladesh,EKI Energy Services Limited,Waste handling and disposal,,AMS-III.D.; AMS-III.F.,Under development,Bangladesh,,56000,VCS Version 3,,2024-07-25,2031-07-24,2026-01-27
5908,Electric Mobility Program Colombia,Grutter Consulting AG,Transport,,VM0038,Under validation,Colombia,,596272,VCS Version 3,,2026-01-01,2035-12-31,2026-01-24
5907,Future Ecology Improved Agricultural Land Management Project,"Kazakhstan Future Ecology Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,Kazakhstan,,249597,VCS Version 3,,2023-09-17,2043-09-16,2026-01-23
5904,Future Ecology Soil Organic Carbon Enhancement Project,"Kazakhstan Future Ecology Technology Co., Ltd.",Agriculture Forestry and Other Land Use,ALM,VM0042,Under validation,Kazakhstan,Asia,570592,VCS Version 3,,2023-09-15,2043-09-14,2026-01-22
