resourceIdentifier,resourceName,country,protocols,protocolSubCategories,estAnnualEmissionReductions,n_peers,loo_mean,M1,M2,M4
5836,Amazon Highest-Deforestation Frontline (HDF) XREDD Grouped Project,Brazil,VM0048,REDD,300000,11,398206.5,226013.38752632114,8.0,0.7272727272727273
5834,Delta Kapuas Project,Indonesia,VM0007; VM0033; VM0047; VM0048,ARR; REDD; WRC,2438716,1,,,,
5832,ZORÓ PANGYJEJ REDD+,Brazil,VM0048,REDD,241477,11,404058.8,144313.50469040644,6.0,0.5454545454545454
5831,IGARAPÉ LOURDES REDD+ PROJECT,Brazil,VM0048,REDD,52416,11,422964.9,6495.662065575654,1.0,0.09090909090909091
5821,"TREES FOR FARMERS, AGROFORESTRY PROJECT IN INDIA",India,VM0047,ARR,980163,37,178187.08333333334,5391633.829999836,36.0,0.972972972972973
5823,Forêts d'Avenir,Senegal,VM0047,ARR,20443,2,54497.0,7668.610180376902,1.0,0.5
5820,The Gamboma and Mbon Afforestation Project,Congo,VM0047,ARR,2757662,2,388968.0,19550964.876915324,2.0,1.0
5818,Avé Ga Grouped Project,Togo,VM0047,ARR,174039,2,696750.0,43472.656650161465,1.0,0.5
5816,The Massangui Forest Conservation and Afforestation Project,Congo,VM0047; VM0048,ARR; REDD,383479,1,,,,
5813,"Developing a Voluntary Carbon Market Project with FPOs for Agroforestry Plantation in Saharanpur District of Uttar Pradesh, India",India,VM0047,ARR,54161,37,203909.36111111112,14385.871766826682,14.0,0.3783783783783784
5814,THAILAND CARBON PROGRAM OF RICE-FIELD FOR ALTERNATIVE WET AND DRY IN THE AREAS OF THE CENTRAL AND NORTHERN,Thailand,VM0051,ALM,54645,1,,,,
5807,REGENERATIVE AGRICULTURE CARBON OFFSETTING (RACO) GROUP PROJECT,Malaysia,VM0042,ALM,13387,1,,,,
5805,Mangrove Mitra: Community-Led Coastal Resilience,India,VM0033,ARR; WRC,50553,5,44358.5,57612.53894969397,3.0,0.6
5806,Tausi Tanzania,Tanzania,VM0047,ARR,266196,4,200621.66666666666,353203.6773163417,3.0,0.75
5802,Suledo Community ARR Project (Mradi wa jamii wa Suledo wa Hewa kaboni),Tanzania,VM0047,ARR,62406,4,268551.6666666667,14501.897844610905,1.0,0.25
5803,Improved Agricultural Land Management in Sierra Leone,Sierra Leone,VM0042,ALM,45000,1,,,,
5798,KALTIM HUTAMA IFM PROJECT,Indonesia,VM0010,IFM,517003,5,821974.25,325183.0601858878,2.0,0.4
5799,Gerbang Barito REDD+ Project,Indonesia,VM0007,REDD; WRC,275000,8,2824186.8571428573,26777.61912556575,1.0,0.125
5796,Tanimbar Community Forest Restoration Project,Indonesia,VM0047,ARR,2568258,5,402636.0,16381916.059577385,5.0,1.0
5792,Togo Green Renaissance With Farmers and Schools,Togo,VM0047,ARR,696750,2,174039.0,2789378.0273387,2.0,1.0
5786,MYANMAR CARBON PROGRAM OF RICE-FIELD FOR GREENHOUSE GAS REDUCTION IN AREAS OF THE CENTRAL AND NORTHERN,Myanmar,VM0051,ALM,59738,1,,,,
5783,Green Gold Loreto 2,Peru,VM0010,IFM,203181,5,505092.5,81732.59108183155,1.0,0.2
5779,The Ecopreneur Movement – Miombo Woodland Restoration Project,Zambia,VM0047,ARR,1432208,1,,,,
5780,KA’AGUY+ – Grouped REDD+ Project for Avoided Forest Degradation in Paraguay,Paraguay,VM0006,REDD,235000,1,,,,
5774,ReTerra Brazil,Brazil,VM0042,ALM,717000,15,1787209.357142857,287649.00874391926,7.0,0.4666666666666667
5769,Grouped Improved Agricultural Land Management Project in Shandong Province,China,VM0042,ALM,52708,69,336189.5,8263.593193719613,3.0,0.043478260869565216
5770,REDD+ Sertão Veredas,Brazil,VM0048,ARR; REDD,79560,1,,,,
5766,Agrokoncernas Carbon Farming Initiative,Lithuania,VM0042,ALM,209333,4,27283.0,1606139.5333724297,4.0,1.0
5764,PEWMA PATAGONIA CARBON FORESTRY PROJECT,Argentina,VM0047,ARR,2430,13,53045.666666666664,111.31729264721592,2.0,0.15384615384615385
5763,Grande Sun Gabon Ogooué-Ivindo REDD+ Project,Gabon ,VM0007; VM0048,REDD,2976683,1,,,,
5760,Acorn - Kaderes Smallholder Agroforestry in Tanzania,Tanzania,VM0047,ARR,476494,4,130522.33333333333,1739522.4728028665,4.0,1.0
5758,Go Green Jojoba Afforestation Project,Egypt,VM0047,ARR,44834,1,,,,
5755,SATROKALA ARR GROUPED PROJECT,Madagascar,VM0047,ARR,49971,3,23505.5,106234.7468039395,3.0,1.0
5746,DORNOD SUSTAINABLE GRASSLAND MANAGEMENT PROJECT,Mongolia,VM0042,ALM,800000,7,275000.0,2327272.727272727,6.5,0.9285714285714286
5747,SELENGE SUSTAINABLE GRASSLAND MANAGEMENT PROJECT,Mongolia,VM0042,ALM,180000,7,378333.3333333333,85638.7665198238,3.0,0.42857142857142855
5748,SUKHBAATAR SUSTAINABLE GRASSLAND MANAGEMENT PROJECT,Mongolia,VM0042,ALM,800000,7,275000.0,2327272.727272727,6.5,0.9285714285714286
5743,Proyecto Tatú: Restoring the Chaco Forest in Argentina,Argentina,VM0047,ARR,46238,13,49395.0,43282.77445085535,10.0,0.7692307692307693
5739,Tumed Left Banner Improved Agricultural Land Management Project,China,VM0042,ALM,76540,69,335839.0294117647,17443.986811959196,8.0,0.11594202898550725
5736,Kapuas Pisau Conservation Project,Indonesia,VM0007; VM0047,ARR; REDD; WRC,83123,3,991268.5,6970.294253272448,1.0,0.3333333333333333
5730,MoRe Malawi ARR Project,Malawi,VM0047,ARR,896410,4,78375.66666666667,10252555.700961607,4.0,1.0
5732,MoRe Malawi REDD Project,Malawi,VM0048,REDD,154902,1,,,,
5725,"Improved Agricultural Land Management for Verified Carbon Emission Reduction and Removal in Wa West and Daffiama-Bussie-Issah (DBI) Districts, Ghana",Ghana,VM0042,ALM,385080,2,211923.0,699719.2678472842,2.0,1.0
5724,INDHEMP AGRICULTURAL HEMP ROTATION - MONTANA,United States,VM0042,ALM,47545,11,863496.4,2617.8766060866033,2.0,0.18181818181818182
5722,JATI DHARMA INDAH PLYWOOD INDUSTRIES IFM PROJECT 1,Indonesia,VM0010,IFM,366498,5,859600.5,156259.54615428913,1.0,0.2
5723,Urubamba Amazon IFM Project,Peru,VM0010,IFM,537434,5,421529.25,685208.2135605062,4.0,0.8
5720,Mangrove Conservation Sierra Leone,Sierra Leone,VM0033,ARR; WRC,176391,2,78000.0,398894.6779615385,2.0,1.0
5718,RENEW TARU ODISHA,India,VM0047,ARR,4814,37,205280.11111111112,112.89255386001024,6.0,0.16216216216216217
5714,Project Tarsier,Philippines,VM0047,ARR,21784,6,258623.8,1834.8762024222056,1.0,0.16666666666666666
5713,Afforestation Project in Mongolia,Mongolia,VM0047,ARR,1510792,4,3576686.3333333335,638158.4110387464,3.0,0.75
5710,The Soil Center Carbon Initiative,United States,VM0042,ALM,2438383,11,624412.6,9522087.886581725,10.0,0.9090909090909091
5709,TRIUNFO DO XINGU RECOVERY UNIT (URTX) ARR PROJECT,Brazil,VM0047,ARR,76000,16,339499.06666666665,17013.30155841371,8.0,0.5
5704,COMBINED NATIVE SPECIES RESTORATION AND EUCALYPTUS REFORESTATION IN THE BRAGANCA DISTRICT,Portugal,VM0047,ARR,1538,3,763.5,3098.158480681074,3.0,1.0
5705,NADOWLI-KALEO CLIMATE-SMART AGRICULTURE CARBON PROJECT,Ghana,VM0042,ALM,211923,2,385080.0,116628.643214397,1.0,0.5
5706,Amau Ganai REDD+ Project,Papua New Guinea,VM0007; VM0048,REDD,636062,4,2135953.0,189411.87743550536,1.0,0.25
5707,Roots of Change: India Agroforestry Ecosystem Services Initiative,India,VM0047,ARR,210272,37,199572.94444444444,221544.6292436099,27.0,0.7297297297297297
5703,KwaZulu-Natal Sustainable Landscapes Program (KZNSLP),South Africa,VM0032,ALM,730524,4,153708.66666666666,3471927.29043255,4.0,1.0
5701,Sustainable Regenerative Agriculture Project with Ecologically Oriented and Organic Integration,Kazakhstan,VM0042,ALM,1727889,5,434984.25,6863697.700137419,5.0,1.0
5699,MONGOLIA AFFORESTATION PROJECT (PHASE II),Mongolia,VM0047,ARR,9573225,4,889208.6666666666,103065388.73960406,4.0,1.0
5700,EcoHarvest Sustainable Agriculture Project,Kazakhstan,VM0042,ALM,881748,5,646519.5,1202561.6172505238,4.0,0.8
5697,Swiftgreen: Agroforestry for Tribal farmers,India,VM0047,ARR,206332,37,199682.38888888888,213203.0494070723,26.0,0.7027027027027027
5695,Siluk Peatlands Conservation Project (SPCP),Indonesia,VM0007,REDD; WRC,1147943,8,2699480.714285714,488158.00915906316,5.0,0.625
5689,Karoo Sustainable Landscapes Program (KSLP),South Africa,VM0032; VM0042,ALM,900000,1,,,,
