ISO3,Year,Inflation_pct,ExtDebt_pct_GNI,Reserves_Imports_mo,GovDebt_pct_GDP,CurrentAccount_pct
ABW,1995,3.36139107320898,,1.50018068433577,,-0.0211505922165815
ABW,1996,3.22528797213979,,1.04027318020058,,-5.0080971659919
ABW,1997,2.99994809778412,,0.878653885679459,,-12.7826404084609
ABW,1998,1.8694885361554,,1.42641112865345,,-1.12713854411271
ABW,1999,2.28037198258753,,1.78749876312095,,-25.2778858625162
ABW,2000,4.04402131190512,,1.7850343060438,,11.0568722640362
ABW,2001,2.88360430316263,,2.27534437577257,,16.2808742441801
ABW,2002,3.31524678585423,,2.55811560837211,,-17.3434518893983
ABW,2003,3.65636507938418,,2.15484096392717,,-8.09902267310928
ABW,2004,2.52912946932762,,0.93701780023919,,12.0136853291022
ABW,2005,3.39778677828805,,0.70499047441034,,4.44757292760025
ABW,2006,3.60802438784541,,0.852870309360599,,12.5742113280132
ABW,2007,5.39256784475516,,0.855744944893461,,9.64536035842434
ABW,2008,8.95598705177784,,1.18599382098509,,0.00393003438387262
ABW,2009,-2.13542872046937,,2.50264881835759,,6.72239127248544
ABW,2010,2.07814071860786,,3.76354670355263,,-18.7525373189382
ABW,2011,4.31629742195203,,1.17471977058045,,-9.8776559966521
ABW,2012,0.627471992893372,,3.05345052783429,,3.47345127544661
ABW,2013,-2.37206524252261,,3.18146073203589,,-11.813208837986
ABW,2014,0.421440918881214,,3.39213963391281,,-4.65857687581843
ABW,2015,0.474763597342641,,4.24241135576558,,3.99414243924537
ABW,2016,-0.93119598707956,,5.03557327314366,,4.7317741972835
ABW,2017,-1.02828178762012,,4.80169322264787,,1.1197958543778
ABW,2018,3.6260414135296,,4.61716936332368,,-0.59136646769686
ABW,2019,4.25746204335427,,4.73765122446844,,2.53380248998849
ABW,2020,,,8.12875540805488,,-12.8046064501285
ABW,2021,,,8.60890892631567,,2.75111908453426
ABW,2022,,,6.97828441803822,,6.93602302823432
ABW,2023,,,5.82381270702624,,5.07202388667267
ABW,2024,,,,,
ABW,2025,,,,,
AGO,1995,2666.45059288537,241.057580028413,0.636881119404233,,-5.32696076591876
AGO,1996,4145.10598220637,180.899433628874,1.11501653352679,,43.3988183053598
AGO,1997,219.176721172974,147.806121516533,0.755373853353226,,-11.5519884917384
AGO,1998,107.284821528298,194.747864891032,0.424868938701749,,-28.6976083856327
AGO,1999,248.195902412868,223.247861326023,0.830557757873481,,-27.7983311948052
AGO,2000,324.99687160132,131.075486566154,1.92891647488978,,8.71506351159262
AGO,2001,152.561022469298,119.007608419805,1.06051298619751,,-16.0129513307541
AGO,2002,108.897436089429,66.8015479069923,0.515950491062242,,-0.867014859883908
AGO,2003,98.2241436573304,56.6608944666511,0.722048941236958,,-3.53728418452148
AGO,2004,43.5421067519686,46.5316387283025,1.25835735524016,,2.52329142811835
AGO,2005,22.9535138513939,37.1535135368479,1.99794220547624,,12.411352951241
AGO,2006,13.3052101780031,21.4383204383608,4.32469967086085,,18.2253229198446
AGO,2007,12.2514974459486,20.7080710064909,3.89157343751113,,14.487357954762
AGO,2008,12.4758291326397,20.8444196333637,3.74480928595889,,7.28233163406667
AGO,2009,13.7302839288408,31.9407468104196,3.3611382027568,,-9.26704056119383
AGO,2010,14.4696564932576,35.3911613090284,5.41091833069452,,7.85577834884186
AGO,2011,13.4824679218511,33.9687833337354,6.03056028828388,,10.4217171191836
AGO,2012,10.2779049218839,30.7446796123415,6.6149462810706,,9.64052717140429
AGO,2013,8.77781429332623,35.3141708088895,6.28848630390087,,5.47217516826916
AGO,2014,7.2803873036112,35.9601982257134,5.14629092203124,,-2.4421772584791
